cgpa,skills_count,internships,projects,certifications,placed
7.5,7,2,11,4,1
9.8,2,0,3,3,1
8.93,10,4,10,1,1
8.39,2,4,2,0,1
6.62,6,1,3,5,0
6.62,5,3,11,2,1
6.23,14,0,6,6,1
9.46,13,0,10,6,1
8.4,14,2,0,3,1
8.83,14,4,5,1,1
6.08,4,0,2,6,0
9.88,14,4,10,4,1
9.33,7,0,9,6,1
6.85,3,1,6,6,0
6.73,4,3,9,6,1
6.73,6,0,1,7,0
7.22,10,4,1,0,0
8.1,3,1,3,1,0
7.73,11,0,0,4,1
7.16,9,2,2,1,0
8.45,3,3,8,7,1
6.56,12,0,6,3,0
7.17,14,1,6,3,1
7.47,6,2,10,3,1
7.82,8,1,3,5,1
9.14,9,1,1,6,1
6.8,2,2,3,5,0
8.06,7,1,5,0,0
8.37,2,2,10,3,1
6.19,3,0,10,7,0
8.43,2,2,2,4,1
6.68,12,2,0,1,0
6.26,6,3,11,6,1
9.8,11,2,7,2,1
9.86,10,2,11,4,1
9.23,7,0,4,6,1
7.22,12,3,4,5,1
6.39,12,4,10,5,1
8.74,2,0,3,4,1
7.76,14,0,5,5,1
6.49,2,4,2,3,0
7.98,3,2,8,0,0
6.14,10,1,4,1,0
9.64,4,3,2,0,1
7.04,2,1,10,6,1
8.65,6,4,0,1,1
7.25,8,0,9,7,1
8.08,7,0,11,1,1
8.19,13,3,5,0,1
6.74,2,0,1,4,0
9.88,6,0,2,1,1
9.1,6,3,0,7,1
9.76,7,3,8,7,1
9.58,4,4,7,7,1
8.39,6,0,11,0,0
9.69,8,0,1,1,1
6.35,6,4,11,2,1
6.78,6,2,10,4,1
6.18,6,2,7,3,0
7.3,11,2,11,1,1
7.55,11,4,8,7,1
7.09,4,0,0,2,0
9.31,2,4,4,3,1
7.43,6,4,7,3,1
7.12,10,2,10,6,1
8.17,2,1,1,1,0
6.56,4,0,3,0,0
9.21,14,2,6,1,1
6.3,14,1,2,2,0
9.95,5,1,11,3,1
9.09,2,3,4,1,1
6.79,2,0,7,0,0
6.02,9,1,11,6,1
9.26,3,2,9,1,1
8.83,13,3,2,4,1
8.92,9,0,3,6,1
9.09,8,4,8,0,1
6.3,11,2,6,2,0
7.43,11,1,0,3,1
6.46,3,1,11,1,0
9.45,7,2,3,0,1
8.49,7,1,3,6,1
7.32,4,3,8,4,1
6.25,12,0,5,0,0
7.24,3,3,8,5,1
7.3,13,1,11,7,1
8.92,2,4,5,4,1
8.55,7,0,5,6,1
9.55,13,0,4,2,1
7.89,6,2,4,3,1
6.48,12,2,1,6,0
8.85,10,4,7,7,1
9.04,2,0,7,2,1
8.25,8,4,10,1,1
9.08,6,2,0,0,1
7.98,6,2,7,5,1
8.09,3,0,4,4,1
7.71,12,3,1,4,1
6.1,4,1,1,0,0
6.43,8,2,5,5,1
6.13,7,2,10,0,0
8.55,13,3,8,1,1
7.26,3,3,0,7,0
8.03,7,4,11,2,1
9.63,3,4,5,6,1
7.0,3,1,8,4,0
7.64,3,1,7,1,0
9.02,12,0,10,2,1
6.92,4,4,5,1,1
6.31,3,2,2,5,0
7.16,5,4,7,4,1
6.64,10,2,8,6,1
9.72,7,3,0,0,1
9.23,2,4,11,0,1
8.53,9,3,8,2,1
9.49,13,1,5,6,1
9.21,8,1,5,7,1
6.75,11,0,11,3,1
9.57,4,4,3,5,1
8.16,2,3,0,2,0
9.23,6,2,9,3,1
9.58,14,1,7,1,1
7.27,5,1,1,5,0
6.44,11,2,11,1,1
6.91,9,3,0,7,1
7.71,2,3,1,6,0
9.27,11,4,0,4,1
9.44,2,4,0,5,1
6.03,13,0,8,3,0
8.04,5,1,0,7,1
7.67,9,4,3,4,1
6.89,6,3,9,0,1
6.48,3,2,5,3,0
7.35,7,3,6,2,1
9.77,6,1,1,0,1
7.29,3,3,5,7,1
8.08,14,0,6,0,1
8.81,12,1,9,2,1
7.45,12,2,9,5,1
9.89,12,0,1,0,1
9.85,4,1,1,6,1
7.01,10,2,9,3,1
7.99,8,0,6,4,1
7.2,8,0,11,0,0
7.14,12,1,0,3,0
6.15,7,4,7,1,0
8.44,9,0,10,3,1
8.01,5,0,2,4,1
6.21,9,2,10,3,1
7.11,5,3,5,2,1
9.63,9,1,8,7,1
6.96,10,1,5,4,0
6.58,4,4,8,7,1
7.96,4,4,6,5,1
9.94,12,1,8,7,1
6.97,14,4,1,1,1
8.69,3,2,11,2,1
9.05,14,1,7,5,1
6.95,11,4,7,3,1
8.91,4,1,1,4,1
7.47,4,3,11,1,1
8.53,6,0,3,2,0
8.53,6,1,10,5,1
8.14,3,0,6,5,1
6.36,13,4,10,1,1
9.34,11,0,3,6,1
7.28,14,1,3,3,1
6.75,7,3,5,1,0
6.16,6,4,9,5,1
8.36,7,1,5,0,1
8.71,2,4,9,2,1
6.07,6,2,2,1,0
8.05,10,0,8,6,1
6.91,13,2,11,5,1
8.58,11,1,9,3,1
6.7,3,3,10,7,1
8.76,2,4,1,5,1
7.55,11,0,5,3,0
9.75,14,4,11,1,1
6.55,12,1,6,3,1
7.36,10,4,11,4,1
6.45,11,0,8,4,0
9.7,10,1,2,4,1
9.51,10,4,9,6,1
7.03,7,3,2,6,1
8.64,9,1,6,0,1
9.27,12,1,3,6,1
8.22,14,3,7,7,1
8.12,2,2,6,1,1
6.97,11,0,4,5,1
6.37,5,2,6,5,0
9.59,2,4,2,0,1
9.6,9,3,11,6,1
8.53,2,2,1,7,1
7.36,4,1,5,3,0
7.4,14,4,1,0,1
8.9,5,4,2,7,1
9.59,9,2,5,3,1
9.55,7,2,4,7,1
9.12,11,3,7,3,1
8.57,13,0,8,2,1
6.34,8,2,10,7,1
6.65,9,2,2,5,1
9.59,3,1,11,4,1
8.43,14,4,9,6,1
6.04,11,0,2,3,0
6.41,12,1,2,2,0
8.65,9,3,5,7,1
6.02,4,3,0,5,0
6.64,8,2,6,4,1
8.19,4,2,11,3,1
8.77,8,3,0,7,1
8.61,12,2,4,7,1
6.9,13,0,9,3,1
8.85,14,2,7,0,1
6.95,3,4,3,0,0
7.3,11,2,4,5,1
8.99,7,1,3,4,1
8.6,4,0,11,3,1
