job_role,company_name,field,required_skills,,,,,,
Software Engineer,Google,Computer Science,Python,Java,Data Structures,css,html,,
Data Scientist,Microsoft,Computer Science,Python,Machine Learning,SQL,Statistics,TensorFlow,Pandas,
Full Stack Developer,Amazon,Computer Science,JavaScript,React,Node.js,MongoDB,REST API,HTML,CSS
Backend Developer,Netflix,Computer Science,Java,Spring Boot,Microservices,Kafka,Docker,SQL,
DevOps Engineer,Google,Computer Science,Linux,Docker,Kubernetes,CI/CD,AWS,Terraform,Shell Scripting
Machine Learning Engineer,OpenAI,Computer Science,Python,Deep Learning,NLP,PyTorch,TensorFlow,Scikit-learn,
Frontend Developer,Meta,Computer Science,React,JavaScript,TypeScript,HTML,CSS,Redux,
Cloud Architect,AWS,Computer Science,AWS,Azure,Cloud Architecture,Microservices,Kubernetes,Terraform,
Cybersecurity Analyst,Cisco,Computer Science,Network Security,Penetration Testing,Firewalls,Python,SIEM,,
Mobile App Developer,Apple,Computer Science,Swift,iOS,UIKit,SwiftUI,Objective-C,CoreData,
Android Developer,Google,Computer Science,Kotlin,Android,Java,Firebase,REST API,,
Database Administrator,Oracle,Computer Science,SQL,Oracle,MySQL,PostgreSQL,Database Design,Query Optimization,
Site Reliability Engineer,LinkedIn,Computer Science,Linux,Python,Go,Kubernetes,Monitoring,,
AI Research Scientist,DeepMind,Computer Science,Python,Deep Learning,Mathematics,Statistics,Research,NLP,
Blockchain Developer,Coinbase,Computer Science,Solidity,Blockchain,Ethereum,Smart Contracts,Web3,JavaScript,
Software Development Engineer,Flipkart,Computer Science,Java,Python,Data Structures,Algorithms,System Design,,
Cloud Engineer,Microsoft Azure,Computer Science,Azure,Cloud Computing,Python,Terraform,Kubernetes,,
Data Engineer,Uber,Computer Science,Python,Spark,Hadoop,SQL,Airflow,ETL,
Security Engineer,Palo Alto Networks,Computer Science,Cybersecurity,Python,Network Security,SIEM,Incident Response,,
API Developer,Twilio,Computer Science,REST API,Python,Node.js,JSON,OAuth,Microservices,
Game Developer,Unity Technologies,Computer Science,C#,Unity,Game Development,3D Graphics,Physics Engine,,
AR/VR Developer,Meta Reality Labs,Computer Science,Unity,C#,AR,VR,3D Modeling,OpenXR,
NLP Engineer,Hugging Face,Computer Science,Python,NLP,Transformers,BERT,PyTorch,Text Processing,
Computer Vision Engineer,Tesla,Computer Science,Python,OpenCV,Deep Learning,CNN,Image Processing,PyTorch,
Platform Engineer,Spotify,Computer Science,Python,Go,Kubernetes,Docker,CI/CD,Microservices,
Embedded Software Engineer,Qualcomm,Computer Science,C,C++,Embedded Systems,RTOS,Linux,Firmware,
Solutions Architect,IBM,Computer Science,Cloud Architecture,AWS,Python,System Design,Microservices,,
Data Analyst,Accenture,Computer Science,Python,SQL,Power BI,Tableau,Excel,Statistics,
QA Automation Engineer,Infosys,Computer Science,Selenium,Python,Java,TestNG,JIRA,Automation,
Product Manager,Google,Computer Science,Product Management,Agile,SQL,Data Analysis,Communication,,
Technical Lead,TCS,Computer Science,Java,System Design,Leadership,Microservices,SQL,Agile,
React Developer,Razorpay,Computer Science,React,JavaScript,TypeScript,Redux,REST API,HTML,CSS
Python Developer,Zomato,Computer Science,Python,Django,Flask,REST API,SQL,Docker,
Java Developer,Wipro,Computer Science,Java,Spring Boot,Hibernate,SQL,Maven,REST API,
Node.js Developer,Swiggy,Computer Science,Node.js,JavaScript,Express,MongoDB,REST API,Docker,
iOS Developer,Paytm,Computer Science,Swift,iOS,Xcode,UIKit,REST API,CoreData,
Golang Developer,Cloudflare,Computer Science,Go,Microservices,Docker,Kubernetes,REST API,Linux,
Rust Developer,Mozilla,Computer Science,Rust,Systems Programming,Memory Management,Concurrency,Linux,,
Scala Developer,LinkedIn,Computer Science,Scala,Spark,Functional Programming,Kafka,SQL,,
Ruby on Rails Developer,Shopify,Computer Science,Ruby,Rails,SQL,REST API,JavaScript,HTML,
PHP Developer,WordPress,Computer Science,PHP,Laravel,MySQL,JavaScript,HTML,CSS,
TypeScript Developer,Atlassian,Computer Science,TypeScript,React,Node.js,REST API,SQL,,
Kubernetes Engineer,Red Hat,Computer Science,Kubernetes,Docker,Linux,Helm,CI/CD,Python,
Terraform Engineer,HashiCorp,Computer Science,Terraform,AWS,Azure,GCP,Infrastructure as Code,,
Prometheus Engineer,Grafana Labs,Computer Science,Prometheus,Grafana,Monitoring,Linux,Python,Kubernetes,
Kafka Engineer,Confluent,Computer Science,Kafka,Java,Microservices,Stream Processing,Docker,,
Spark Engineer,Databricks,Computer Science,Spark,Python,Scala,SQL,Hadoop,Data Engineering,
Elasticsearch Engineer,Elastic,Computer Science,Elasticsearch,Kibana,Logstash,Python,REST API,,
GraphQL Developer,Apollo,Computer Science,GraphQL,Node.js,JavaScript,REST API,SQL,,
MLOps Engineer,Weights & Biases,Computer Science,Python,MLOps,Docker,Kubernetes,CI/CD,Machine Learning,
Embedded Systems Engineer,Intel,Electronics Engineering,C,C++,Microcontrollers,RTOS,ARM,Assembly,Linux
VLSI Design Engineer,Qualcomm,Electronics Engineering,VLSI,Verilog,VHDL,Digital Design,Cadence,Synthesis,
Signal Processing Engineer,Texas Instruments,Electronics Engineering,DSP,MATLAB,Signal Processing,C,Embedded Systems,,
